Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Комплект одежды LDLATTE;3108789462;LD01.1_твид_карандаш_бело_черный 179807996 42;https://www.ozon.ru/product/3108789462;LDLATTE;Одежда;Комплект одежды;Нет;394 956 ₽;+93%;95;3 060 ₽;4 157 ₽;0 ₽;19 из 28;13 395 ₽;3;FBO;42 ч;1,6;45,0%;51,0%;17 208;5 387;0,09%;6,27%;0,0%;38,9%;2025-11-14
Юбка ВАМ УЮТНО Уютно и тепло;3119042799;810-DARKBROWN;https://www.ozon.ru/product/3119042799;ВАМ УЮТНО;Одежда;Юбка;Нет;394 930 ₽;-11%;164;1 922 ₽;2 408 ₽;0 ₽;8 из 28;13 548 ₽;6;FBO;36 ч;4,0;49,0%;56,0%;85 345;16 065;0,03%;4,65%;1,6%;44,5%;2025-11-17
Костюм классический Sasheline женский теплый с юбкой мини;1648858681;KostumUyut2407МОЛ М;https://www.ozon.ru/product/1648858681;Sasheline;Одежда;Костюм классический;Нет;394 920 ₽;-14%;105;2 908 ₽;3 761 ₽;0 ₽;6 из 28;13 613 ₽;4;FBO;29 ч;9,2;49,0%;56,0%;56 133;14 313;0,01%;3,57%;0,0%;35,2%;2024-08-05
Пуховик Stylish Dance /с капюшоном;2790233692;8301коричневый 58;https://www.ozon.ru/product/2790233692;Stylish Dance;Одежда;Пуховик;Нет;394 916 ₽;-60%;82;3 878 ₽;4 816 ₽;602 249 ₽;28 из 28;35 426 ₽;7;FBO;76 ч;10,8;41,0%;55,0%;25 015;4 973;0,00%;5,77%;0,0%;40,2%;2025-09-01
Кофе Senator Jamaica Blue, сублимированный,2 шт. по 85г;2102624563;11.1074_2;https://www.ozon.ru/product/2102624563;Senator;Продукты питания;Кофе растворимый;Нет;394 910 ₽;+115%;722;1 ₽;547 ₽;0 ₽;25 из 28;14 343 ₽;26;FBO;55 ч;1,5;43,0%;57,0%;86 275;27 938;0,32%;8,65%;0,0%;94,3%;2025-05-06
LAST WISH кофе в зернах Декаф без кофеина арабика 100% средней обжарки 1 кг;2306560192;LWDECAF1000;https://www.ozon.ru/product/2306560192;LAST WISH;Продукты питания;Кофе в зернах;Нет;394 907 ₽;+50%;179;1 ₽;2 206 ₽;0 ₽;26 из 28;13 536 ₽;6;FBO;47 ч;6,3;38,0%;46,0%;60 763;9 548;0,16%;5,80%;15,9%;97,7%;2025-06-17
Костюм спортивный Mono Up;3111374440;kids164;https://www.ozon.ru/product/3111374440;Mono Up;Одежда;Костюм спортивный;Нет;394 874 ₽;-3%;173;1 830 ₽;2 283 ₽;0 ₽;6 из 28;13 769 ₽;6;FBO;31 ч;11,5;53,0%;63,0%;174 075;6 735;0,01%;7,67%;7,3%;67,0%;2025-11-15
Джинсы BUNS Скинни;1588982955;TS_B_7_26;https://www.ozon.ru/product/1588982955;BUNS;Одежда;Джинсы;Нет;394 812 ₽;+42%;196;193 ₽;2 014 ₽;0 ₽;5 из 28;13 583 ₽;7;FBO;28 ч;3,5;49,0%;56,0%;20 520;4 176;0,17%;11,82%;0,0%;45,4%;2024-05-29
Худи RUMIA зип толстовка теплая, зипка с капюшоном;2726372754;26W-008_светло-серый_42-46;https://www.ozon.ru/product/2726372754;RUMIA;Одежда;Худи;Нет;394 778 ₽;-66%;239;1 ₽;1 652 ₽;104 117 ₽;27 из 28;17 423 ₽;11;FBO;61 ч;6,4;53,0%;63,0%;59 156;12 788;0,29%;8,85%;0,0%;45,1%;2025-08-21
Костюм спортивный;3112286238;адик-замок-2XL;https://www.ozon.ru/product/3112286238;без бренда;Одежда;Костюм спортивный;Нет;394 770 ₽;+106%;75;4 120 ₽;5 264 ₽;251 249 ₽;26 из 28;22 841 ₽;4;FBO;74 ч;10,4;48,0%;55,0%;48 825;4 544;0,03%;5,89%;0,8%;45,3%;2025-11-15
Легинсы Bona Fide Лосины женские спортивные с пушап эффектом для спорта и фитнеса;1428348413;BFL-340-421-001_S;https://www.ozon.ru/product/1428348413;Bona Fide;Одежда;Легинсы;Нет;394 770 ₽;+64%;109;3 158 ₽;3 622 ₽;0 ₽;5 из 28;13 711 ₽;4;FBO;28 ч;4,3;47,0%;53,0%;3 313;8 852;0,27%;4,39%;1,1%;39,4%;2024-02-20
Джинсы ТВОЕ;2760951674;B5307_темно-синий_M_03NV;https://www.ozon.ru/product/2760951674;ТВОЕ;Одежда;Джинсы;Нет;394 747 ₽;-13%;291;881 ₽;1 357 ₽;68 515 ₽;25 из 28;17 129 ₽;13;FBO;69 ч;3,1;51,0%;61,0%;55 061;12 116;0,09%;8,55%;0,0%;30,9%;2025-08-27
Куртка;1799508230;kurtka02/M;https://www.ozon.ru/product/1799508230;без бренда;Одежда;Куртка;Нет;394 687 ₽;-11%;87;3 406 ₽;4 537 ₽;0 ₽;20 из 28;13 855 ₽;3;FBO;28 ч;9,4;40,0%;53,0%;171 697;9 910;0,01%;5,81%;0,8%;21,8%;2024-12-24
Брюки широкие ТВОЕ;3137737067;B6117_коричневый_M_01BN;https://www.ozon.ru/product/3137737067;ТВОЕ;Одежда;Брюки;Нет;394 682 ₽;-34%;209;1 460 ₽;1 888 ₽;0 ₽;13 из 28;14 078 ₽;8;FBO;38 ч;7,4;52,0%;61,0%;27 710;10 557;0,35%;8,57%;0,0%;33,9%;2025-11-21
Платье Zarina;3181269534;ZR2602092323/103/50;https://www.ozon.ru/product/3181269534;Zarina;Одежда;Платье;Нет;394 576 ₽;+68%;79;4 112 ₽;4 995 ₽;225 702 ₽;25 из 28;22 570 ₽;5;FBO;80 ч;10,6;48,0%;55,0%;13 642;3 068;0,05%;9,58%;0,0%;43,0%;2025-12-01
Рубашка Avron OVERSIZE оверсайз для школы и офиса;2152810951;18915 Cotton Gabardin Oversize White2/48;https://www.ozon.ru/product/2152810951;Avron;Одежда;Рубашка;Нет;394 515 ₽;+44%;282;1 156 ₽;1 399 ₽;0 ₽;9 из 28;14 048 ₽;10;FBO;31 ч;2,2;50,0%;59,0%;54 162;7 553;0,13%;12,26%;0,0%;45,3%;2025-05-19
Куртка ArctiLine;1829368475;Мона 1780-1 WW-25 Темно-синий 44-46 (M);https://www.ozon.ru/product/1829368475;ArctiLine;Одежда;Куртка;Нет;394 495 ₽;-3%;31;8 142 ₽;12 726 ₽;272 881 ₽;26 из 28;22 740 ₽;2;FBO;43 ч;32,2;39,0%;51,0%;6 143;2 963;0,16%;3,47%;0,0%;25,8%;2025-01-13
Костюм спортивный Marmelad Lady;2889373665;ML-64.01_54;https://www.ozon.ru/product/2889373665;Marmelad Lady;Одежда;Костюм спортивный;Нет;394 490 ₽;+37%;76;3 444 ₽;5 191 ₽;0 ₽;1 из 28;13 016 ₽;3;FBO;28 ч;18,7;50,0%;57,0%;16 544;5 328;0,07%;6,56%;0,0%;48,6%;2025-09-23
Кофе в зернах Tasty Coffee Колумбия Уила, 250 г;311632441;2_1УИЛ_ЗЕРН;https://www.ozon.ru/product/311632441;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;394 473 ₽;+18%;573;1 ₽;688 ₽;0 ₽;27 из 28;13 889 ₽;20;FBO;55 ч;1,5;41,0%;52,0%;33 171;11 403;1,25%;5,48%;4,9%;94,7%;2021-08-30
Свитшот Kostumchik Store;1361984253;KSH-1-Izumrud_40-48;https://www.ozon.ru/product/1361984253;Kostumchik Store;Одежда;Свитшот;Нет;394 468 ₽;+108%;316;722 ₽;1 248 ₽;0 ₽;7 из 28;14 052 ₽;11;FBO;34 ч;1,7;51,0%;60,0%;84 695;32 603;0,03%;3,81%;0,6%;67,7%;2023-12-27
Брюки утепленные VOKRIS;313683870;Брюки-флисовая-черные-м48;https://www.ozon.ru/product/313683870;VOKRIS;Одежда;Брюки;Нет;394 443 ₽;-46%;205;1 ₽;1 924 ₽;0 ₽;21 из 28;14 079 ₽;7;FBO,FBS;35 ч;5,7;50,0%;59,0%;190 791;9 931;0,01%;4,65%;6,6%;60,4%;2021-09-02
Джинсы Джинсы;2189399856;01женджтемкор26;https://www.ozon.ru/product/2189399856;без бренда;Одежда;Джинсы;Нет;394 435 ₽;+45%;142;2 203 ₽;2 778 ₽;46 267 ₽;17 из 28;15 422 ₽;6;FBO;83 ч;6,1;49,0%;57,0%;16 743;3 585;0,07%;14,81%;0,0%;43,6%;2025-05-26
Куртка H&L fashion boutique;2820086113;580серо-зеленый 58;https://www.ozon.ru/product/2820086113;H&L fashion boutique;Одежда;Куртка;Нет;394 428 ₽;-14%;43;7 928 ₽;9 173 ₽;13 572 ₽;21 из 28;13 572 ₽;1;FBO,FBS;73 ч;12,0;39,0%;52,0%;24 000;4 282;0,02%;5,34%;0,0%;37,2%;2025-09-07
Кардиган YOURS Store кардиган;3149461190;Кардиган женский_желтый;https://www.ozon.ru/product/3149461190;YOURS Store;Одежда;Кардиган;Нет;394 381 ₽;+22%;162;1 990 ₽;2 434 ₽;0 ₽;10 из 28;13 810 ₽;6;FBO;42 ч;2,4;47,0%;54,0%;45 498;19 874;0,09%;4,46%;1,9%;48,7%;2025-11-24
Джинсы Zeem широкие;1831714188;широкие/коричневый/33;https://www.ozon.ru/product/1831714188;Zeem;Одежда;Джинсы;Нет;394 367 ₽;-4%;107;3 095 ₽;3 686 ₽;0 ₽;12 из 28;13 945 ₽;4;FBO;31 ч;2,2;46,0%;52,0%;4 212;3 458;0,33%;21,37%;0,0%;40,1%;2025-01-14
Куртка Zarina;2609349727;ZR2509102204/169/M;https://www.ozon.ru/product/2609349727;Zarina;Одежда;Куртка;Нет;394 298 ₽;-6%;160;2 143 ₽;2 464 ₽;339 041 ₽;27 из 28;26 080 ₽;11;FBO;69 ч;7,4;41,0%;56,0%;58 123;13 140;0,08%;4,92%;0,0%;43,7%;2025-08-04
Куртка MANGO Man NORUEGA;3091788476;17058266-35;https://www.ozon.ru/product/3091788476;MANGO Man;Одежда;Куртка;Нет;394 262 ₽;+78%;28;11 389 ₽;14 081 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;11,5;39,0%;51,0%;3 799;960;0,00%;5,62%;0,0%;0,0%;0001-01-01
Джемпер CHELEBI TEXTILE Базовый гардероб;727019691;051//Белый///44-46;https://www.ozon.ru/product/727019691;CHELEBI TEXTILE;Одежда;Джемпер;Нет;394 187 ₽;+7%;684;1 ₽;576 ₽;0 ₽;10 из 28;13 878 ₽;24;FBO;34 ч;1,6;58,0%;75,0%;37 040;13 307;0,17%;14,54%;0,0%;69,4%;2022-09-27
Кофе растворимый сублимированный Московская Кофейня на паяхъ, Арабика, 95 гр.;935351208;4601985002803;https://www.ozon.ru/product/935351208;Московская кофейня на паяхъ;Продукты питания;Кофе растворимый;Нет;394 130 ₽;-65%;830;1 ₽;475 ₽;106 260 ₽;26 из 28;17 798 ₽;38;FBO;50 ч;0,7;43,0%;56,0%;165 148;12 514;0,32%;10,58%;18,2%;94,6%;2023-04-13
Водолазка SimpleQlo модель CHU & CHU;1197923965;м/черный/48;https://www.ozon.ru/product/1197923965;SimpleQlo;Одежда;Водолазка;Нет;394 119 ₽;-43%;491;568 ₽;803 ₽;0 ₽;8 из 28;13 860 ₽;17;FBO;30 ч;3,0;55,0%;68,0%;182 033;38 381;0,05%;3,04%;14,4%;59,5%;2023-09-19
Куртка DEPLAZA;2329875341;куртка205шоколадS;https://www.ozon.ru/product/2329875341;DEPLAZA;Одежда;Куртка;Нет;394 109 ₽;-4%;58;5 657 ₽;6 795 ₽;0 ₽;23 из 28;13 815 ₽;2;FBO;57 ч;5,5;39,0%;51,0%;3 893;4 684;0,17%;8,53%;0,0%;29,3%;2025-06-20
Платье AYBAZ HOUSE;1159224127;ПЛ5ккофейный;https://www.ozon.ru/product/1159224127;AYBAZ HOUSE;Одежда;Платье;Нет;394 100 ₽;-40%;145;2 093 ₽;2 718 ₽;14 112 ₽;19 из 28;14 216 ₽;5;FBO;55 ч;4,8;48,0%;55,0%;117 764;31 734;0,00%;3,10%;2,5%;51,7%;2023-08-29
Куртка Gorpcore куртки мужские-52;1731391063;К6-черный_52;https://www.ozon.ru/product/1731391063;Gorpcore;Одежда;Куртка;Нет;394 097 ₽;-36%;72;4 232 ₽;5 474 ₽;206 151 ₽;26 из 28;20 615 ₽;4;FBO;68 ч;13,5;41,0%;55,0%;39 838;4 562;0,01%;7,27%;1,4%;41,6%;2024-10-18
Брюки Termit;2871686147;5JZMLK0NO1;https://www.ozon.ru/product/2871686147;Termit;Одежда;Брюки;Нет;394 060 ₽;+140%;99;3 743 ₽;3 980 ₽;520 386 ₽;28 из 28;32 524 ₽;8;FBO;61 ч;8,2;48,0%;55,0%;13 957;3 874;0,05%;5,83%;0,0%;48,4%;2025-09-19
Легинсы Blissness из экокожи утепленные;2720900675;ЛЧЕРКОЖФЛИС46;https://www.ozon.ru/product/2720900675;Blissness;Одежда;Легинсы;Нет;394 052 ₽;-30%;322;839 ₽;1 224 ₽;0 ₽;4 из 28;13 760 ₽;11;FBO;28 ч;1,2;50,0%;59,0%;64 995;11 905;0,05%;7,76%;5,5%;47,8%;2025-08-20
Костюм классический KatyPretty Костюм с юбкой;3236369325;FrescaФиолетовый_M;https://www.ozon.ru/product/3236369325;KatyPretty;Одежда;Костюм классический;Нет;394 050 ₽;+42%;61;5 561 ₽;6 460 ₽;149 940 ₽;21 из 28;18 743 ₽;3;FBO;71 ч;6,3;46,0%;52,0%;60 274;13 638;0,01%;2,62%;0,4%;40,9%;2025-12-14
Пуховик D2L;1694378267;DL-003-48;https://www.ozon.ru/product/1694378267;D2L;Одежда;Пуховик;Нет;394 028 ₽;-36%;89;3 348 ₽;4 427 ₽;28 598 ₽;24 из 28;14 299 ₽;3;FBO;46 ч;5,9;40,0%;53,0%;45 275;4 994;0,01%;4,68%;1,6%;33,7%;2024-09-15
Дубленка натуральная Maison David PARIS;3009626972;4630472;https://www.ozon.ru/product/3009626972;Maison David PARIS;Одежда;Дубленка натуральная;Нет;393 979 ₽;+905%;18;18 021 ₽;21 888 ₽;1 041 219 ₽;27 из 28;49 582 ₽;2;FBS;0 ч;43,2;39,0%;51,0%;15 566;1 724;0,00%;2,90%;0,0%;50,0%;2025-10-23
Шуба искусственная LAWINTER;1628877709;54677/Молочный/48;https://www.ozon.ru/product/1628877709;LAWINTER;Одежда;Шуба искусственная;Нет;393 976 ₽;-16%;31;10 606 ₽;12 709 ₽;95 797 ₽;22 из 28;15 966 ₽;1;FBO;60 ч;20,5;39,0%;51,0%;61 036;4 181;0,01%;3,32%;0,0%;16,1%;2024-07-15
Брюки прямые Апрель Школа;363262033;516429;https://www.ozon.ru/product/363262033;Апрель;Одежда;Брюки;Нет;393 938 ₽;+131%;504;554 ₽;782 ₽;30 262 ₽;21 из 28;15 131 ₽;19;FBO;56 ч;2,6;57,0%;73,0%;23 232;7 851;0,15%;12,46%;0,9%;71,6%;2021-10-26
Пальто by Arhangelskaya Alina Женская коллекция;3045540630;Одноборт синее 46;https://www.ozon.ru/product/3045540630;by Arhangelskaya Alina;Одежда;Пальто;Нет;393 839 ₽;+41%;38;9 225 ₽;10 364 ₽;0 ₽;8 из 28;13 208 ₽;1;FBO;30 ч;4,4;38,0%;50,0%;234 746;85 101;0,00%;0,66%;29,8%;42,1%;2025-10-31
Пуховик Chiago;2819765737;CHIA32WM05BLACK L 64-66;https://www.ozon.ru/product/2819765737;Chiago;Одежда;Пуховик;Нет;393 793 ₽;+12%;30;9 656 ₽;13 126 ₽;30 292 ₽;21 из 28;15 146 ₽;1;FBO,FBS;48 ч;27,8;41,0%;54,0%;30 676;3 882;0,01%;4,30%;0,4%;36,6%;2025-09-07
Джинсы Zeem мом;2058945164;мом/черный/28;https://www.ozon.ru/product/2058945164;Zeem;Одежда;Джинсы;Нет;393 741 ₽;+22%;125;2 635 ₽;3 150 ₽;0 ₽;5 из 28;13 850 ₽;4;FBO;28 ч;5,1;48,0%;55,0%;1 382;5 302;1,37%;11,09%;0,0%;28,8%;2025-04-22
Джинсы BIGAR Джинсы мужские бананы;2007099629;НТ/темно-серый 38;https://www.ozon.ru/product/2007099629;BIGAR;Одежда;Джинсы;Нет;393 737 ₽;-41%;128;2 208 ₽;3 076 ₽;0 ₽;1 из 28;13 705 ₽;4;FBO;28 ч;6,0;49,0%;56,0%;6 476;2 666;0,04%;11,77%;0,0%;45,3%;2025-04-07
Куртка Zolla;2873729689;z0154151140149900_L;https://www.ozon.ru/product/2873729689;Zolla;Одежда;Куртка;Нет;393 655 ₽;-52%;113;2 655 ₽;3 484 ₽;0 ₽;12 из 28;13 898 ₽;4;FBO;34 ч;18,5;46,0%;62,0%;92 558;9 040;0,08%;3,86%;0,0%;41,0%;2025-09-19
Парка Люкс;2679803860;w1086-b-46;https://www.ozon.ru/product/2679803860;без бренда;Одежда;Парка;Нет;393 644 ₽;-64%;36;9 328 ₽;10 935 ₽;0 ₽;12 из 28;11 718 ₽;1;FBO;34 ч;18,0;40,0%;52,0%;107 332;46 974;0,00%;0,55%;16,8%;33,3%;2025-08-14
Дубленка искусственная Zolla;2984444157;z0254455740349500_XS;https://www.ozon.ru/product/2984444157;Zolla;Одежда;Дубленка искусственная;Нет;393 637 ₽;-6%;53;5 244 ₽;7 427 ₽;0 ₽;16 из 28;12 933 ₽;2;FBO;47 ч;33,8;45,0%;60,0%;36 498;8 705;0,04%;2,82%;0,0%;33,9%;2025-10-17
Футболка футболки и майки;2105384574;222-HEI-XL;https://www.ozon.ru/product/2105384574;без бренда;Одежда;Футболка;Нет;393 531 ₽;+7%;489;1 ₽;805 ₽;0 ₽;5 из 28;13 801 ₽;17;FBO;28 ч;1,0;52,0%;63,0%;9 173;7 372;2,02%;19,43%;0,0%;66,7%;2025-05-07
Джинсы;1266713437;2061/40;https://www.ozon.ru/product/1266713437;без бренда;Одежда;Джинсы;Нет;393 465 ₽;-10%;258;107 ₽;1 525 ₽;0 ₽;18 из 28;13 755 ₽;9;FBO;64 ч;4,5;52,0%;62,0%;61 711;8 842;0,04%;9,18%;0,8%;64,7%;2023-10-30
Кофе без кофеина в зернах 1 кг Колумбия Декаф, свежеобжаренная Арабика 100% Caribia;1740025410;121052;https://www.ozon.ru/product/1740025410;Caribia;Продукты питания;Кофе в зернах;Нет;393 461 ₽;+7%;189;163 ₽;2 082 ₽;0 ₽;27 из 28;14 526 ₽;7;FBO,FBS;46 ч;3,5;36,0%;43,0%;34 553;4 096;0,35%;8,27%;10,6%;95,7%;2024-10-24
Джинсы T.ONE SYMBOL прямые классические;1418836903;Джинсы_9639_голуб_33;https://www.ozon.ru/product/1418836903;T.ONE SYMBOL;Одежда;Джинсы;Нет;393 414 ₽;+396%;153;2 072 ₽;2 571 ₽;147 936 ₽;27 из 28;18 492 ₽;7;FBO,FBS;55 ч;4,4;47,0%;54,0%;10 085;5 281;0,22%;11,34%;1,7%;56,8%;2024-02-09
Куртка;1733554224;024-den-44;https://www.ozon.ru/product/1733554224;без бренда;Одежда;Куртка;Нет;393 412 ₽;+55%;135;1 810 ₽;2 914 ₽;0 ₽;11 из 28;13 572 ₽;5;FBO;38 ч;24,7;49,0%;67,0%;34 362;4 828;0,18%;14,14%;0,0%;67,4%;2024-10-20
Платье GILA;1391100003;0300_black_44;https://www.ozon.ru/product/1391100003;GILA;Одежда;Платье;Нет;393 365 ₽;-63%;136;2 411 ₽;2 892 ₽;0 ₽;3 из 28;14 044 ₽;5;FBO;28 ч;3,0;47,0%;54,0%;135 775;8 714;0,04%;5,43%;0,0%;40,4%;2024-01-17
Брюки багги YOS DESIGN;2102147060;137DJOGZAT-096;https://www.ozon.ru/product/2102147060;YOS DESIGN;Одежда;Брюки;Нет;393 358 ₽;+57%;105;2 434 ₽;3 746 ₽;13 536 ₽;14 из 28;13 536 ₽;4;FBO;48 ч;2,6;47,0%;54,0%;38 935;3 746;0,05%;7,98%;0,0%;55,2%;2025-05-06
Топ Fox Lingerie Нижнее белье ;1416992425;FLSOTY/ЧЕРНЫЙ_3XL;https://www.ozon.ru/product/1416992425;Fox Lingerie;Одежда;Топ;Нет;393 332 ₽;-7%;303;793 ₽;1 298 ₽;0 ₽;11 из 28;13 957 ₽;11;FBO;35 ч;2,7;48,0%;56,0%;22 360;26 228;0,16%;4,26%;6,6%;57,0%;2024-02-06
Джинсы The80`s Трубы;1695365426;TT_T80_62_26;https://www.ozon.ru/product/1695365426;The80`s;Одежда;Джинсы;Нет;393 331 ₽;+46%;127;2 564 ₽;3 097 ₽;0 ₽;3 из 28;13 944 ₽;5;FBO;31 ч;4,8;48,0%;55,0%;33 540;5 076;0,05%;7,48%;0,0%;48,0%;2024-09-17
Капсулы для кофемашины Nespresso Santo Arabica MIX 6 Specialty, 30 капсул;950178308;MIX6071;https://www.ozon.ru/product/950178308;Santo Arabica;Продукты питания;Кофе в капсулах;Нет;393 319 ₽;+15%;661;1 ₽;595 ₽;185 736 ₽;27 из 28;20 669 ₽;35;FBO;67 ч;1,1;43,0%;56,0%;60 980;8 949;0,45%;13,49%;5,4%;97,2%;2023-04-23
Пижама PIZHAMNOVO Зебра;2103269435;LIZZYОЛИВА42-44;https://www.ozon.ru/product/2103269435;PIZHAMNOVO;Одежда;Пижама;Нет;393 287 ₽;-29%;331;696 ₽;1 188 ₽;0 ₽;16 из 28;13 729 ₽;12;FBO;37 ч;3,3;52,0%;62,0%;286 247;66 758;0,04%;2,44%;17,7%;72,8%;2025-05-06
Джинсы The80`s Трубы;1597760326;TT_T80_6_27;https://www.ozon.ru/product/1597760326;The80`s;Одежда;Джинсы;Нет;393 256 ₽;-14%;142;2 303 ₽;2 769 ₽;0 ₽;3 из 28;13 751 ₽;5;FBO;29 ч;4,8;48,0%;55,0%;14 207;5 519;0,23%;8,44%;0,0%;31,6%;2024-06-06
Пуховик Снежная Королева;2476713846;76785000348;https://www.ozon.ru/product/2476713846;Снежная Королева;Одежда;Пуховик;Нет;393 161 ₽;+80%;39;8 893 ₽;10 081 ₽;0 ₽;22 из 28;12 315 ₽;1;FBO,FBS;55 ч;10,8;39,0%;52,0%;17 414;3 948;0,01%;3,82%;0,0%;41,0%;2025-07-15
Карнавальная одежда ;2684021349;2461663232-UQLO7TW;https://www.ozon.ru/product/2684021349;без бренда;Одежда;Карнавальная одежда;Нет;393 106 ₽;+87%;246;1 303 ₽;1 598 ₽;0 ₽;0 из 28;0 ₽;0;FBS;0 ч;4,7;52,0%;62,0%;45 471;18 225;0,94%;9,46%;0,0%;89,0%;2025-08-15
Пуховик NUMBER 11;1746165255;пух012/черный_M;https://www.ozon.ru/product/1746165255;NUMBER 11;Одежда;Пуховик;Нет;393 059 ₽;+43%;67;4 411 ₽;5 867 ₽;0 ₽;17 из 28;12 250 ₽;2;FBO;38 ч;25,2;44,0%;60,0%;63 095;9 215;0,01%;3,23%;2,5%;23,8%;2024-10-31
Джинсы MkJeans SLIM FIT;1556009056;A02-71B-34;https://www.ozon.ru/product/1556009056;MkJeans;Одежда;Джинсы;Нет;393 022 ₽;-25%;109;3 021 ₽;3 606 ₽;0 ₽;13 из 28;14 036 ₽;4;FBO,FBS;37 ч;10,2;49,0%;57,0%;1 130;1 440;0,44%;15,97%;0,0%;42,2%;2024-04-23
Дубленка Sнежность;2278885922;4716_черный 54;https://www.ozon.ru/product/2278885922;Sнежность;Одежда;Дубленка натуральная;Нет;393 007 ₽;+81%;7;39 205 ₽;56 144 ₽;132 804 ₽;28 из 28;16 601 ₽;0;FBS;0 ч;29,9;38,0%;49,0%;5 429;2 113;0,03%;4,21%;0,0%;57,1%;2025-06-12
Пижама ТВОЕ;2925616324;B6253_сиреневый_XS_00PR;https://www.ozon.ru/product/2925616324;ТВОЕ;Одежда;Пижама;Нет;392 942 ₽;+22%;465;447 ₽;845 ₽;88 717 ₽;23 из 28;17 743 ₽;21;FBO;63 ч;6,7;59,0%;74,0%;603 622;57 618;0,03%;3,37%;0,0%;61,5%;2025-10-02
Пижама White Devil Костюм домашний женский;1740980153;Flowers Free Size 4;https://www.ozon.ru/product/1740980153;White Devil;Одежда;Пижама;Нет;392 937 ₽;-16%;230;158 ₽;1 708 ₽;0 ₽;6 из 28;13 743 ₽;8;FBO;28 ч;1,7;48,0%;56,0%;209 313;27 117;0,01%;4,99%;7,9%;60,8%;2024-10-25
Пуховик Happy Winter Двусторонний пуховик;1692558329;Bronza_Black_XL;https://www.ozon.ru/product/1692558329;Happy Winter;Одежда;Пуховик;Нет;392 928 ₽;-18%;34;8 575 ₽;11 557 ₽;61 563 ₽;25 из 28;15 391 ₽;1;FBO;72 ч;2,4;38,0%;50,0%;7 484;3 192;0,01%;6,92%;0,0%;23,5%;2024-09-13
Ночная сорочка MODAMICA Для беременных;620846647;М-78Н_1;https://www.ozon.ru/product/620846647;MODAMICA;Одежда;Ночная сорочка;Нет;392 921 ₽;-12%;807;0 ₽;487 ₽;14 072 ₽;24 из 28;14 213 ₽;29;FBO;52 ч;1,8;56,0%;71,0%;143 590;26 275;0,20%;6,53%;1,7%;76,7%;2022-06-20
Джинсы Befree Woman Mix&Match;2006998505;BananasSSNEW-102-S/170;https://www.ozon.ru/product/2006998505;Befree;Одежда;Джинсы;Нет;392 908 ₽;+580%;289;1 142 ₽;1 360 ₽;0 ₽;18 из 28;13 886 ₽;10;FBO;57 ч;5,4;53,0%;63,0%;28 867;12 191;0,09%;6,20%;0,0%;46,7%;2025-04-07
